11,112,http://www.cvk.gov.ua/pls/vp2014/wp336b111.html?pt001f01=702&pt005f01=11,місто Вінниця,Вінницька область
12,115,http://www.cvk.gov.ua/pls/vp2014/wp336847a.html?pt001f01=702&pt005f01=12,місто Вінниця,Вінницька область
13,236,http://www.cvk.gov.ua/pls/vp2014/wp3364c57.html?pt001f01=702&pt005f01=13,місто Калинівка,Вінницька область
14,260,http://www.cvk.gov.ua/pls/vp2014/wp33607c8.html?pt001f01=702&pt005f01=14,місто Жмеринка,Вінницька область
15,287,http://www.cvk.gov.ua/pls/vp2014/wp33683cf.html?pt001f01=702&pt005f01=15,місто Іллінці,Вінницька область
16,236,http://www.cvk.gov.ua/pls/vp2014/wp33600c3.html?pt001f01=702&pt005f01=16,місто Немирів,Вінницька область
17,202,http://www.cvk.gov.ua/pls/vp2014/wp336782a.html?pt001f01=702&pt005f01=17,смт Тростянець,Вінницька область
18,214,http://www.cvk.gov.ua/pls/vp2014/wp3369b35.html?pt001f01=702&pt005f01=18,місто Ямпіль,Вінницька область
19,222,http://www.cvk.gov.ua/pls/vp2014/wp336eda6.html?pt001f01=702&pt005f01=19,місто Володимир-Волинський,Волинська область
20,314,http://www.cvk.gov.ua/pls/vp2014/wp33672b1.html?pt001f01=702&pt005f01=20,місто Горохів,Волинська область
21,249,http://www.cvk.gov.ua/pls/vp2014/wp336ae79.html?pt001f01=702&pt005f01=21,місто Ковель,Волинська область
22,83,http://www.cvk.gov.ua/pls/vp2014/wp3366c06.html?pt001f01=702&pt005f01=22,місто Луцьк,Волинська область
23,261,http://www.cvk.gov.ua/pls/vp2014/wp336a5e8.html?pt001f01=702&pt005f01=23,смт Маневичі,Волинська область
24,59,http://www.cvk.gov.ua/pls/vp2014/wp3360342.html?pt001f01=702&pt005f01=24,"місто Дніпропетровськ, Амур-Нижньодніпровський район",Дніпропетровська область
25,90,http://www.cvk.gov.ua/pls/vp2014/wp3363e95.html?pt001f01=702&pt005f01=25,"місто Дніпропетровськ, Індустріальний район",Дніпропетровська область
26,69,http://www.cvk.gov.ua/pls/vp2014/wp336b2d1.html?pt001f01=702&pt005f01=26,"місто Дніпропетровськ, Жовтневий район",Дніпропетровська область
27,57,http://www.cvk.gov.ua/pls/vp2014/wp336cef7.html?pt001f01=702&pt005f01=27,"місто Дніпропетровськ, Бабушкінський район",Дніпропетровська область
28,86,http://www.cvk.gov.ua/pls/vp2014/wp3369bfe.html?pt001f01=702&pt005f01=28,"місто Дніпропетровськ, Красногвардійський район",Дніпропетровська область
29,73,http://www.cvk.gov.ua/pls/vp2014/wp33680cf.html?pt001f01=702&pt005f01=29,"місто Дніпропетровськ, Ленінський район",Дніпропетровська область
30,98,http://www.cvk.gov.ua/pls/vp2014/wp3360c7a.html?pt001f01=702&pt005f01=30,місто Дніпродзержинськ,Дніпропетровська область
31,99,http://www.cvk.gov.ua/pls/vp2014/wp33642bf.html?pt001f01=702&pt005f01=31,"місто Кривий Ріг, Жовтневий район",Дніпропетровська область
32,98,http://www.cvk.gov.ua/pls/vp2014/wp3360a46.html?pt001f01=702&pt005f01=32,"місто Кривий Ріг, Саксаганський район",Дніпропетровська область
